Server: Loading model from game_engine/model/best_model.pth
Server Ready: Batch=4096, Streams=8, Device=cuda
   [Worker 0] Starting Game 1...
   [Worker 3] Starting Game 1...
   [Worker 2] Starting Game 1...
   [Worker 6] Starting Game 1...
   [Worker 5] Starting Game 1...
   [Worker 1] Starting Game 1...
   [Worker 4] Starting Game 1...
   [Worker 7] Starting Game 1...
   [Worker 14] Starting Game 1...
   [Worker 8] Starting Game 1...
   [Worker 10] Starting Game 1...
   [Worker 9] Starting Game 1...
   [Worker 11] Starting Game 1...
   [Worker 13] Starting Game 1...
   [Worker 12] Starting Game 1...
   [Worker 17] Starting Game 1...
   [Worker 16] Starting Game 1...
   [Worker 15] Starting Game 1...
   [Worker 22] Starting Game 1...
   [Worker 21] Starting Game 1...
   [Worker 18] Starting Game 1...
   [Worker 25] Starting Game 1...
   [Worker 19] Starting Game 1...
   [Worker 20] Starting Game 1...
   [Worker 23] Starting Game 1...
   [Worker 29] Starting Game 1...
   [Worker 24] Starting Game 1...
   [Worker 26] Starting Game 1...
   [Worker 27] Starting Game 1...
   [Worker 28] Starting Game 1...
   [Worker 36] Starting Game 1...
   [Worker 30] Starting Game 1...
   [Worker 31] Starting Game 1...
   [Worker 32] Starting Game 1...
   [Worker 34] Starting Game 1...
   [Worker 33] Starting Game 1...
   [Worker 35] Starting Game 1...
   [Worker 37] Starting Game 1...
   [Worker 40] Starting Game 1...
   [Worker 42] Starting Game 1...
   [Worker 38] Starting Game 1...
   [Worker 39] Starting Game 1...
   [Worker 41] Starting Game 1...
   [Worker 43] Starting Game 1...
   [Worker 0] Move 1: a2a3 (14.14s | 113 sim/s)
   [Worker 36] Move 105: a1b1 (43.44s | 37 sim/s)
   [Worker 37] Move 106: f7d7 (33.20s | 48 sim/s)
   [Worker 0] Move 110: f8g7 (37.11s | 43 sim/s)
   [Worker 12] Move 105: e4f5 (33.22s | 48 sim/s)
   [Worker 22] Move 108: c6c5 (31.98s | 50 sim/s)
   [Worker 43] Move 104: f2e2 (33.77s | 47 sim/s)
   [Worker 39] Move 40: a8b8 (29.28s | 55 sim/s)
   [Worker 14] Move 1: g1f3 (28.93s | 55 sim/s)
   [Worker 24] Move 25: e1d2 (32.63s | 49 sim/s)
   [Worker 15] Move 110: a4a3 (25.78s | 62 sim/s)
   [Worker 34] Move 12: d6e7 (29.39s | 54 sim/s)
   [Worker 18] Move 104: f8f7 (35.88s | 45 sim/s)
   [Worker 8] Move 106: h7h6 (36.32s | 44 sim/s)
   [Worker 19] Move 100: g7g6 (30.39s | 53 sim/s)
   [Worker 38] Move 107: g4g5 (33.25s | 48 sim/s)
   [Worker 25] Move 25: e1d2 (30.34s | 53 sim/s)
   [Worker 17] Move 104: c5c4 (25.36s | 63 sim/s)
   [Worker 28] Move 104: e5d6 (34.70s | 46 sim/s)
   [Worker 16] Move 105: g4g5 (29.15s | 55 sim/s)
   [Worker 27] Move 113: b6c7 (27.19s | 59 sim/s)
   [Worker 42] Move 23: b4b5 (30.14s | 53 sim/s)
   [Worker 4] Move 56: d3c4 (31.82s | 50 sim/s)
   [Worker 35] Move 31: e1g1 (30.57s | 52 sim/s)
   [Worker 1] Move 104: h7h6 (36.95s | 43 sim/s)
   [Worker 21] Move 5: a3c4 (27.25s | 59 sim/s)
   [Worker 6] Move 112: a6a5 (32.45s | 49 sim/s)
   [Worker 11] Move 107: b4a5 (27.80s | 58 sim/s)
   [Worker 10] Move 52: f5e6 (34.80s | 46 sim/s)
   [Worker 30] Move 76: c8d7 (32.57s | 49 sim/s)
   [Worker 31] Move 107: h2g2 (32.64s | 49 sim/s)
   [Worker 2] Move 104: h7h6 (39.19s | 41 sim/s)
   [Worker 36] Move 106: a7a8 (29.13s | 55 sim/s)
   [Worker 23] Move 108: e2h2 (30.96s | 52 sim/s)
   [Worker 3] Move 57: c5c8 (34.53s | 46 sim/s)
   [Worker 7] Move 103: a7a8q (34.98s | 46 sim/s)
   [Worker 13] Move 19: e2d4 (31.09s | 51 sim/s)
   [Worker 33] Move 107: b7c8 (46.53s | 34 sim/s)
   [Worker 14] Move 2: g8h6 (27.80s | 58 sim/s)
   [Worker 41] Move 106: d4d5 (33.83s | 47 sim/s)
   [Worker 40] Move 109: e1d2 (33.67s | 48 sim/s)
   [Worker 12] Move 106: c7d7 (30.32s | 53 sim/s)
   [Worker 24] Move 26: c7a5 (28.37s | 56 sim/s)
   [Worker 8] Move 107: e5f6 (26.97s | 59 sim/s)
   [Worker 9] Move 107: g7g8q (38.97s | 41 sim/s)
   [Worker 15] Move 111: g1g2 (28.93s | 55 sim/s)
   [Worker 34] Move 13: a3b1 (30.13s | 53 sim/s)
   [Worker 5] Move 112: a6a5 (35.70s | 45 sim/s)
   [Worker 37] Move 107: d4e5 (35.82s | 45 sim/s)
   [Worker 26] Move 105: f1d3 (44.04s | 36 sim/s)
   [Worker 38] Move 108: c6c7 (28.29s | 57 sim/s)
   [Worker 18] Move 105: g6h6 (30.85s | 52 sim/s)
   [Worker 32] Move 105: e2e3 (40.01s | 40 sim/s)
   [Worker 29] Move 111: g3g2 (38.69s | 41 sim/s)
   [Worker 43] Move 105: d1d3 (34.47s | 46 sim/s)
   [Worker 39] Move 41: g1f3 (34.20s | 47 sim/s)
   [Worker 25] Move 26: c7a5 (29.30s | 55 sim/s)
   [Worker 22] Move 109: g2h1 (37.70s | 42 sim/s)
   [Worker 20] Move 104: e6e5 (46.80s | 34 sim/s)
   [Worker 28] Move 105: a2a4 (31.58s | 51 sim/s)
   [Worker 42] Move 24: g8f6 (30.02s | 53 sim/s)
   [Worker 0] Move 111: a3b3 (42.10s | 38 sim/s)
   [Worker 21] Move 6: c7c6 (29.69s | 54 sim/s)
   [Worker 6] Move 113: d6f8 (25.68s | 62 sim/s)
   [Worker 27] Move 114: f8e8 (35.83s | 45 sim/s)
   [Worker 35] Move 32: g5g4 (32.36s | 49 sim/s)
   [Worker 4] Move 57: g2h3 (34.99s | 46 sim/s)
   [Worker 30] Move 77: e8e6 (25.28s | 63 sim/s)
   [Worker 16] Move 106: g7h8 (39.23s | 41 sim/s)
   [Worker 17] Move 105: f5e4 (41.62s | 38 sim/s)
   [Worker 1] Move 105: c8c4 (36.53s | 44 sim/s)
   [Worker 10] Move 53: e1f1 (31.20s | 51 sim/s)
   [Worker 19] Move 101: f2f5 (49.69s | 32 sim/s)
   [Worker 14] Move 3: b1a3 (25.89s | 62 sim/s)
   [Worker 33] Move 108: h5h4 (27.89s | 57 sim/s)
   [Worker 3] Move 58: e8f7 (29.90s | 54 sim/s)
   [Worker 13] Move 20: e8f7 (30.03s | 53 sim/s)
   [Worker 40] Move 110: h4h2 (28.77s | 56 sim/s)
   [Worker 5] Move 113: d6f8 (27.35s | 58 sim/s)
   [Worker 11] Move 108: h8g7 (37.96s | 42 sim/s)
   [Worker 34] Move 14: e8g8 (27.83s | 58 sim/s)
   [Worker 15] Move 112: h6g5 (30.14s | 53 sim/s)
   [Worker 24] Move 27: e3e5 (31.47s | 51 sim/s)
   [Worker 8] Move 108: h6h7 (31.55s | 51 sim/s)
   [Worker 32] Move 106: g2g1q (28.19s | 57 sim/s)
   [Worker 12] Move 107: c3c4 (33.21s | 48 sim/s)
   [Worker 39] Move 42: b8c8 (28.29s | 57 sim/s)
   [Worker 31] Move 108: c6d6 (39.03s | 41 sim/s)
   [Worker 29] Move 112: c5c4 (30.64s | 52 sim/s)
   [Worker 2] Move 105: c8c4 (40.38s | 40 sim/s)
   [Worker 26] Move 106: b1d3 (34.75s | 46 sim/s)
   [Worker 36] Move 107: h2g1 (43.02s | 37 sim/s)
   [Worker 28] Move 106: g4f4 (27.99s | 57 sim/s)
   [Worker 38] Move 109: g5h4 (35.81s | 45 sim/s)
   [Worker 25] Move 27: e3e5 (31.62s | 51 sim/s)
   [Worker 37] Move 108: g6g7 (37.01s | 43 sim/s)
   [Worker 7] Move 104: f6e5 (43.08s | 37 sim/s)
   [Worker 18] Move 106: f4h4 (36.33s | 44 sim/s)
   [Worker 0] Move 112: e3e2 (29.17s | 55 sim/s)
   [Worker 43] Move 106: f3e4 (36.17s | 44 sim/s)
   [Worker 42] Move 25: f4g5 (30.79s | 52 sim/s)
   [Worker 22] Move 110: b1a1 (33.79s | 47 sim/s)
   [Worker 23] Move 109: c7d8 (47.65s | 34 sim/s)
   [Worker 21] Move 7: e2e4 (28.01s | 57 sim/s)
   [Worker 41] Move 107: f1f2 (44.87s | 36 sim/s)
   [Worker 27] Move 115: c7d6 (27.92s | 57 sim/s)
   [Worker 35] Move 33: d2d1 (30.58s | 52 sim/s)
   [Worker 6] Move 114: a5a6 (31.87s | 50 sim/s)
   [Worker 16] Move 107: g5g4 (29.71s | 54 sim/s)
   [Worker 17] Move 106: e3e2 (31.52s | 51 sim/s)
   [Worker 4] Move 58: f8e8 (34.82s | 46 sim/s)
   [Worker 14] Move 4: c7c5 (27.64s | 58 sim/s)
   [Worker 20] Move 105: b7b8q (42.81s | 37 sim/s)
   [Worker 30] Move 78: d7c8 (35.72s | 45 sim/s)
   [Worker 1] Move 106: a6a5 (33.26s | 48 sim/s)
   [Worker 8] Move 109: f6a1 (24.86s | 64 sim/s)
   [Worker 9] Move 108: c6d5 (56.91s | 28 sim/s)
   [Worker 3] Move 59: c8d8 (32.11s | 50 sim/s)
   [Worker 13] Move 21: e4a8 (31.30s | 51 sim/s)
   [Worker 15] Move 113: g2g3 (28.23s | 57 sim/s)
   [Worker 11] Move 109: e5e6 (29.85s | 54 sim/s)
   [Worker 34] Move 15: g2g3 (30.40s | 53 sim/s)
   [Worker 10] Move 54: e6d5 (37.16s | 43 sim/s)
   [Worker 12] Move 108: d7d6 (28.92s | 55 sim/s)
   [Worker 5] Move 114: a5a6 (33.04s | 48 sim/s)
   [Worker 40] Move 111: d2c3 (36.24s | 44 sim/s)
   [Worker 24] Move 28: h8f8 (33.04s | 48 sim/s)
   [Worker 31] Move 109: b1a3 (30.89s | 52 sim/s)
   [Worker 19] Move 102: g6f5 (41.77s | 38 sim/s)
   [Worker 33] Move 109: c8d8 (40.16s | 40 sim/s)
   [Worker 39] Move 43: e4d5 (32.15s | 50 sim/s)
   [Worker 7] Move 105: a8b8 (27.25s | 59 sim/s)
   [Worker 38] Move 110: f7c4 (28.64s | 56 sim/s)
   [Worker 36] Move 108: f7f6 (28.92s | 55 sim/s)
   [Worker 18] Move 107: h6f6 (29.60s | 54 sim/s)
   [Worker 25] Move 28: h8f8 (31.68s | 51 sim/s)
   [Worker 23] Move 110: h2h4 (27.50s | 58 sim/s)
   [Worker 2] Move 106: a6a5 (35.46s | 45 sim/s)
   [Worker 42] Move 26: h8g8 (29.82s | 54 sim/s)
   [Worker 43] Move 107: d3d8 (31.53s | 51 sim/s)
   [Worker 29] Move 113: g2g3 (38.50s | 42 sim/s)
   [Worker 21] Move 8: d6d5 (30.02s | 53 sim/s)
   [Worker 28] Move 107: f1e2 (35.67s | 45 sim/s)
   [Worker 26] Move 107: h1g2 (37.65s | 42 sim/s)
   [Worker 37] Move 109: c5c6 (36.29s | 44 sim/s)
   [Worker 6] Move 115: h6h7 (28.24s | 57 sim/s)
   [Worker 27] Move 116: c4c3 (34.26s | 47 sim/s)
   [Worker 14] Move 5: a1b1 (26.43s | 61 sim/s)
   [Worker 30] Move 79: e3e4 (26.17s | 61 sim/s)
   [Worker 41] Move 108: g5f4 (36.90s | 43 sim/s)
   [Worker 35] Move 34: d8d7 (34.32s | 47 sim/s)
   [Worker 22] Move 111: g1f1 (39.64s | 40 sim/s)
   [Worker 0] Move 113: b3c2 (43.56s | 37 sim/s)
   [Worker 15] Move 114: g5f6 (27.68s | 58 sim/s)
   [Worker 4] Move 59: h3h2 (34.44s | 46 sim/s)
   [Worker 16] Move 108: a7a6 (39.50s | 41 sim/s)
   [Worker 32] Move 107: e3e2 (55.23s | 29 sim/s)
   [Worker 9] Move 109: g8g7 (31.39s | 51 sim/s)
   [Worker 5] Move 115: h6h7 (26.92s | 59 sim/s)
   [Worker 3] Move 60: f7g7 (31.34s | 51 sim/s)
   [Worker 13] Move 22: g4f3 (31.51s | 51 sim/s)
   [Worker 40] Move 112: g6g5 (27.16s | 59 sim/s)
   [Worker 33] Move 110: h4h3 (26.74s | 60 sim/s)
   [Worker 34] Move 16: c7c5 (32.27s | 50 sim/s)
   [Worker 10] Move 55: c7g3 (32.61s | 49 sim/s)
   [Worker 24] Move 29: e5f6 (30.16s | 53 sim/s)
   [Worker 39] Move 44: e5e4 (29.48s | 54 sim/s)
   [Worker 1] Move 107: c4c7 (40.72s | 39 sim/s)
   [Worker 8] Move 110: h7h6 (40.27s | 40 sim/s)
   [Worker 12] Move 109: c4b5 (35.41s | 45 sim/s)
   [Worker 25] Move 29: e5f6 (28.11s | 57 sim/s)
   [Worker 11] Move 110: g7f7 (41.48s | 39 sim/s)
   [Worker 26] Move 108: d3e2 (26.47s | 60 sim/s)
   [Worker 38] Move 111: h4h5 (34.56s | 46 sim/s)
   [Worker 29] Move 114: d3d2 (28.32s | 56 sim/s)
   [Worker 21] Move 9: g1f3 (28.45s | 56 sim/s)
   [Worker 20] Move 106: e5e6 (49.56s | 32 sim/s)
   [Worker 17] Move 107: e4f5 (51.19s | 31 sim/s)
   [Worker 27] Move 117: b5b6 (24.52s | 65 sim/s)
   [Worker 19] Move 103: c2c1 (37.97s | 42 sim/s)
   [Worker 42] Move 27: g5f6 (32.23s | 50 sim/s)
   [Worker 31] Move 110: d6d7 (40.69s | 39 sim/s)
   [Worker 14] Move 6: b8c6 (26.70s | 60 sim/s)
   [Worker 28] Move 108: f4g4 (31.71s | 50 sim/s)
   [Worker 18] Move 108: f7e7 (36.95s | 43 sim/s)
   [Worker 6] Move 116: a6a5 (30.83s | 52 sim/s)
   [Worker 23] Move 111: d8e7 (36.81s | 43 sim/s)
   [Worker 36] Move 109: g1f2 (41.70s | 38 sim/s)
   [Worker 37] Move 110: d7d5 (33.62s | 48 sim/s)
   [Worker 2] Move 107: c4c7 (38.38s | 42 sim/s)
   [Worker 43] Move 108: e4e3 (37.74s | 42 sim/s)
   [Worker 22] Move 112: a1d1 (29.41s | 54 sim/s)
   [Worker 30] Move 80: g7g6 (30.74s | 52 sim/s)
   [Worker 35] Move 35: d1d5 (30.03s | 53 sim/s)
   [Worker 32] Move 108: g1h1 (25.51s | 63 sim/s)
   [Worker 0] Move 114: g7e5 (30.24s | 53 sim/s)
   [Worker 15] Move 115: g3f4 (28.98s | 55 sim/s)
   [Worker 16] Move 109: c5f2 (28.16s | 57 sim/s)
   [Worker 13] Move 23: d4b5 (28.15s | 57 sim/s)
   [Worker 4] Move 60: e8e7 (33.28s | 48 sim/s)
   [Worker 3] Move 61: c2c4 (31.80s | 50 sim/s)
   [Worker 41] Move 109: h4h5 (40.76s | 39 sim/s)
   [Worker 34] Move 17: c4d5 (29.52s | 54 sim/s)
   [Worker 7] Move 106: e5f6 (55.08s | 29 sim/s)
   [Worker 8] Move 111: g2g1 (26.22s | 61 sim/s)
   [Worker 5] Move 116: a6a5 (33.87s | 47 sim/s)
   [Worker 24] Move 30: a5d8 (29.55s | 54 sim/s)
   [Worker 40] Move 113: c3b3 (32.80s | 49 sim/s)
   [Worker 12] Move 110: d6d7 (28.79s | 56 sim/s)
   [Worker 39] Move 45: f3e5 (32.59s | 49 sim/s)
   [Worker 10] Move 56: f8g8 (34.79s | 46 sim/s)
   [Worker 25] Move 30: a5d8 (30.29s | 53 sim/s)
   [Worker 11] Move 111: e6e8 (28.52s | 56 sim/s)
   [Worker 38] Move 112: c7d6 (28.63s | 56 sim/s)
   [Worker 21] Move 10: c8f5 (28.95s | 55 sim/s)
   [Worker 14] Move 7: b2b4 (26.31s | 61 sim/s)
   [Worker 33] Move 111: a3a4 (41.24s | 39 sim/s)
   [Worker 42] Move 28: h7h6 (30.43s | 53 sim/s)
   [Worker 1] Move 108: g6g5 (38.68s | 41 sim/s)
   [Worker 27] Move 118: e8f8 (32.49s | 49 sim/s)
   [Worker 19] Move 104: h3h2 (32.50s | 49 sim/s)
   [Worker 18] Move 109: f6f2 (29.52s | 54 sim/s)
   [Worker 9] Move 110: e5e6 (48.09s | 33 sim/s)
   [Worker 23] Move 112: g4g3 (29.48s | 54 sim/s)
   [Worker 36] Move 110: f5d6 (28.31s | 57 sim/s)
   [Worker 6] Move 117: d5c4 (30.80s | 52 sim/s)
   [Worker 26] Move 109: g2h1 (37.02s | 43 sim/s)
   [Worker 20] Move 107: b8c8 (36.53s | 44 sim/s)
   [Worker 17] Move 108: e2e1q (36.46s | 44 sim/s)
   [Worker 29] Move 115: g3h2 (38.61s | 41 sim/s)
   [Worker 30] Move 81: h5h6 (30.12s | 53 sim/s)
   [Worker 43] Move 109: g1g5 (32.10s | 50 sim/s)
   [Worker 31] Move 111: a3b5 (37.62s | 43 sim/s)
   [Worker 35] Move 36: g7h6 (33.09s | 48 sim/s)
   [Worker 15] Move 116: f6g7 (30.25s | 53 sim/s)
   [Worker 28] Move 109: e2f1 (40.28s | 40 sim/s)
   [Worker 37] Move 111: e5e4 (36.99s | 43 sim/s)
   [Worker 32] Move 109: e2e3 (34.91s | 46 sim/s)
   [Worker 13] Move 24: d8c8 (30.42s | 53 sim/s)
   [Worker 7] Move 107: b8c7 (26.96s | 59 sim/s)
   [Worker 41] Move 110: d6d7 (27.66s | 58 sim/s)
   [Worker 22] Move 113: h1g2 (39.80s | 40 sim/s)
   [Worker 2] Move 108: g6g5 (41.65s | 38 sim/s)
   [Worker 40] Move 114: h2g2 (27.77s | 58 sim/s)
   [Worker 34] Move 18: c5b4 (30.90s | 52 sim/s)
   [Worker 3] Move 62: e7d8 (31.94s | 50 sim/s)
   [Worker 5] Move 117: d5c4 (30.27s | 53 sim/s)
   [Worker 24] Move 31: f6d8 (30.73s | 52 sim/s)
   [Worker 16] Move 110: a6b5 (39.76s | 40 sim/s)
   [Worker 8] Move 112: h6h7 (32.86s | 49 sim/s)
   [Worker 12] Move 111: b5b6 (31.44s | 51 sim/s)
   [Worker 21] Move 11: e4d5 (26.72s | 60 sim/s)
   [Worker 0] Move 115: c2b3 (43.78s | 37 sim/s)
   [Worker 39] Move 46: g8e7 (31.00s | 52 sim/s)
   [Worker 10] Move 57: c6e7 (30.95s | 52 sim/s)
   [Worker 25] Move 31: f6d8 (29.71s | 54 sim/s)
   [Worker 4] Move 61: g3g5 (38.96s | 41 sim/s)
   [Worker 14] Move 8: c5b4 (27.21s | 59 sim/s)
   [Worker 27] Move 119: h2h5 (25.82s | 62 sim/s)
   [Worker 42] Move 29: f6e7 (27.67s | 58 sim/s)
   [Worker 38] Move 113: h5g4 (33.33s | 48 sim/s)
   [Worker 32] Move 110: h1e4 (16.06s | 100 sim/s)
   [Worker 32] Finished Game 1 in 3807.8s |  Total Moves 110 | Result 0-1
   [Worker 32] Starting Game 2...
   [Worker 26] Move 110: e2f3 (26.44s | 61 sim/s)
   [Worker 33] Move 112: h3h2 (32.61s | 49 sim/s)
   [Worker 11] Move 112: f7e8 (39.62s | 40 sim/s)
   [Worker 6] Move 118: a5a6 (33.58s | 48 sim/s)
   [Worker 28] Move 110: g4f4 (25.33s | 63 sim/s)
   [Worker 36] Move 111: f2g3 (34.61s | 46 sim/s)
   [Worker 9] Move 111: g7c7 (35.62s | 45 sim/s)
   [Worker 30] Move 82: c8d8 (33.26s | 48 sim/s)
   [Worker 18] Move 110: e7d7 (38.92s | 41 sim/s)
   [Worker 15] Move 117: f4e4 (29.31s | 55 sim/s)
   [Worker 35] Move 37: d5a8 (31.21s | 51 sim/s)
   [Worker 13] Move 25: b5c7 (28.50s | 56 sim/s)
   [Worker 29] Move 116: g4f3 (36.74s | 44 sim/s)
   [Worker 1] Move 109: c7e7 (42.17s | 38 sim/s)
   [Worker 16] Move 111: h5h6 (24.80s | 65 sim/s)
   [Worker 22] Move 114: e5d4 (31.01s | 52 sim/s)
   [Worker 31] Move 112: e5d5 (39.79s | 40 sim/s)
   [Worker 37] Move 112: g7f6 (36.44s | 44 sim/s)
   [Worker 3] Move 63: a3c1 (29.68s | 54 sim/s)
   [Worker 23] Move 113: e7d8 (45.81s | 35 sim/s)
   [Worker 8] Move 113: f3e4 (28.38s | 56 sim/s)
   [Worker 34] Move 19: g3g4 (31.70s | 50 sim/s)
   [Worker 40] Move 115: b3c3 (32.88s | 49 sim/s)
   [Worker 12] Move 112: d7d6 (27.57s | 58 sim/s)
   [Worker 21] Move 12: g7g6 (27.72s | 58 sim/s)
   [Worker 24] Move 32: f8d8 (30.98s | 52 sim/s)
   [Worker 43] Move 110: e2f2 (43.64s | 37 sim/s)
   [Worker 14] Move 9: b1b4 (27.09s | 59 sim/s)
   [Worker 19] Move 105: c1b1 (51.22s | 31 sim/s)
   [Worker 20] Move 108: e6e5 (48.74s | 33 sim/s)
   [Worker 5] Move 118: a5a6 (34.96s | 46 sim/s)
   [Worker 4] Move 62: e7e8 (29.54s | 54 sim/s)
   [Worker 32] Move 1: e2e4 (24.61s | 65 sim/s)
   [Worker 39] Move 47: e5c4 (31.19s | 51 sim/s)
   [Worker 25] Move 32: f8d8 (31.15s | 51 sim/s)
   [Worker 0] Move 116: e2e1q (32.37s | 49 sim/s)
   [Worker 10] Move 58: g8f8 (32.17s | 50 sim/s)
   [Worker 38] Move 114: d6e7 (27.02s | 59 sim/s)
   [Worker 2] Move 109: c7e7 (40.15s | 40 sim/s)
   [Worker 27] Move 120: f8g8 (30.63s | 52 sim/s)
   [Worker 7] Move 108: f6g6 (44.46s | 36 sim/s)
   [Worker 42] Move 30: f8e7 (32.88s | 49 sim/s)
   [Worker 17] Move 109: a6a7 (55.63s | 29 sim/s)
   [Worker 26] Move 111: h1h2 (30.64s | 52 sim/s)
   [Worker 6] Move 119: f8g7 (25.35s | 63 sim/s)
   [Worker 11] Move 113: d1d6 (27.85s | 57 sim/s)
   [Worker 41] Move 111: f2e1 (48.84s | 33 sim/s)
   [Worker 30] Move 83: e6d6 (25.15s | 64 sim/s)
   [Worker 36] Move 112: f6f5 (29.68s | 54 sim/s)
   [Worker 15] Move 118: g7g8 (27.54s | 58 sim/s)
   [Worker 33] Move 113: d8e8 (37.62s | 43 sim/s)
   [Worker 28] Move 111: f1e1 (32.27s | 50 sim/s)
   [Worker 13] Move 26: f3e4 (27.31s | 59 sim/s)
   [Worker 35] Move 38: e8f7 (31.38s | 51 sim/s)
   [Worker 31] Move 113: g2g3 (28.60s | 56 sim/s)
   [Worker 18] Move 111: f2f3 (36.48s | 44 sim/s)
   [Worker 23] Move 114: d4d3 (28.83s | 55 sim/s)
   [Worker 16] Move 112: b5b4 (32.62s | 49 sim/s)
   [Worker 40] Move 116: f4f3 (28.44s | 56 sim/s)
   [Worker 34] Move 20: h7h6 (28.99s | 55 sim/s)
   [Worker 22] Move 115: f1f2 (32.26s | 50 sim/s)
   [Worker 14] Move 10: h6g8 (28.68s | 56 sim/s)
   [Worker 21] Move 13: d5d6 (30.38s | 53 sim/s)
   [Worker 19] Move 106: h2h1 (29.25s | 55 sim/s)
   [Worker 3] Move 64: g7f8 (33.30s | 48 sim/s)
   [Worker 8] Move 114: h7h6 (32.01s | 50 sim/s)
   [Worker 29] Move 117: h2g3 (40.15s | 40 sim/s)
   [Worker 5] Move 119: f8g7 (29.91s | 53 sim/s)
   [Worker 32] Move 2: b7b5 (29.54s | 54 sim/s)
   [Worker 43] Move 111: g5g6 (32.43s | 49 sim/s)
   [Worker 37] Move 113: a6a7 (36.26s | 44 sim/s)
   [Worker 24] Move 33: c3e4 (33.61s | 48 sim/s)
   [Worker 12] Move 113: f5g6 (36.08s | 44 sim/s)
   [Worker 10] Move 59: e2h5 (30.59s | 52 sim/s)
   [Worker 20] Move 109: c8c7 (33.60s | 48 sim/s)
   [Worker 1] Move 110: g5f4 (44.16s | 36 sim/s)
   [Worker 39] Move 48: e8f8 (32.88s | 49 sim/s)
   [Worker 27] Move 121: e6e7 (30.79s | 52 sim/s)
   [Worker 9] Move 112: b6c7 (50.47s | 32 sim/s)
   [Worker 4] Move 63: g5g7 (34.55s | 46 sim/s)
   [Worker 25] Move 33: c3e4 (33.34s | 48 sim/s)
   [Worker 17] Move 110: c4c3 (30.13s | 53 sim/s)
   [Worker 42] Move 31: c2c3 (31.90s | 50 sim/s)
   [Worker 41] Move 112: f4f3 (29.34s | 55 sim/s)
   [Worker 38] Move 115: g4h5 (37.14s | 43 sim/s)
   [Worker 7] Move 109: c7c8 (34.89s | 46 sim/s)
   [Worker 33] Move 114: h7g8 (26.48s | 60 sim/s)
   [Worker 26] Move 112: e5e4 (34.78s | 46 sim/s)
   [Worker 6] Move 120: a6a5 (36.17s | 44 sim/s)
   [Worker 2] Move 110: g5f4 (41.51s | 39 sim/s)
   [Worker 15] Move 119: e4e5 (30.98s | 52 sim/s)
   [Worker 28] Move 112: h6h5 (30.44s | 53 sim/s)
   [Worker 30] Move 84: d8e8 (35.38s | 45 sim/s)
   [Worker 13] Move 27: a8d5 (32.98s | 49 sim/s)
   [Worker 11] Move 114: e8f7 (41.09s | 39 sim/s)
   [Worker 16] Move 113: a2a4 (25.55s | 63 sim/s)
   [Worker 36] Move 113: g3h3 (38.20s | 42 sim/s)
   [Worker 35] Move 39: g2d5 (34.73s | 46 sim/s)
   [Worker 14] Move 11: h1g1 (27.17s | 59 sim/s)
   [Worker 34] Move 21: c3b4 (29.06s | 55 sim/s)
   [Worker 8] Move 115: b3b4 (27.91s | 57 sim/s)
   [Worker 21] Move 14: b7b5 (28.45s | 56 sim/s)
   [Worker 0] Move 117: b3a3 (54.31s | 29 sim/s)
   [Worker 32] Move 3: f1e2 (26.97s | 59 sim/s)
   [Worker 22] Move 116: f4f3 (31.56s | 51 sim/s)
   [Worker 3] Move 65: c1h6 (29.57s | 54 sim/s)
   [Worker 29] Move 118: b6d5 (28.89s | 55 sim/s)
   [Worker 31] Move 114: e6e5 (37.72s | 42 sim/s)
   [Worker 40] Move 117: c3b3 (35.59s | 45 sim/s)
   [Worker 24] Move 34: a7a6 (29.79s | 54 sim/s)
   [Worker 18] Move 112: h4h5 (37.71s | 42 sim/s)
   [Worker 12] Move 114: d6e5 (28.45s | 56 sim/s)
   [Worker 5] Move 120: a6a5 (31.83s | 50 sim/s)
   [Worker 23] Move 115: d8e7 (40.01s | 40 sim/s)
   [Worker 10] Move 60: h7h5 (32.31s | 50 sim/s)
   [Worker 27] Move 122: g8h8 (32.77s | 49 sim/s)
   [Worker 39] Move 49: c4e5 (33.04s | 48 sim/s)
   [Worker 25] Move 34: a7a6 (32.37s | 49 sim/s)
   [Worker 4] Move 64: e5d3 (33.77s | 47 sim/s)
   [Worker 6] Move 121: d7d5 (25.49s | 63 sim/s)
   [Worker 38] Move 116: e7d7 (30.24s | 53 sim/s)
   [Worker 9] Move 113: e2e3 (35.61s | 45 sim/s)
   [Worker 42] Move 32: c7c5 (31.94s | 50 sim/s)
   [Worker 37] Move 114: d5a5 (40.90s | 39 sim/s)
   [Worker 43] Move 112: f2f3 (41.26s | 39 sim/s)
   [Worker 15] Move 120: g8f7 (27.61s | 58 sim/s)
   [Worker 1] Move 111: c2c4 (42.51s | 38 sim/s)
   [Worker 30] Move 85: b4c5 (29.26s | 55 sim/s)
   [Worker 28] Move 113: e1d2 (30.63s | 52 sim/s)
   [Worker 19] Move 107: b1c2 (49.03s | 33 sim/s)
   [Worker 36] Move 114: h7h5 (25.94s | 62 sim/s)
   [Worker 11] Move 115: e2g3 (29.00s | 55 sim/s)
   [Worker 33] Move 115: e8d8 (36.99s | 43 sim/s)
   [Worker 13] Move 28: e7e6 (31.83s | 50 sim/s)
   [Worker 14] Move 12: d7d5 (27.59s | 58 sim/s)
   [Worker 0] Move 118: e5d4 (25.17s | 64 sim/s)
